Éí¸ß	ÌåÖØ	ÁìÎ§	Ðä³¤	¼ç¿í	ÐØÎ§	ÖÐÑü	¿ã³¤	Ðä·Ê	¿ãÑü	ÍÎÎ§	´óÍÈÎ§	ÒÂ³¤	Ö±µµ	Ðä¿Ú
173	121	46.9	61.2	55.7	130.7	127.1	100.2	44	117.9	127.4	75.1	79	77.3	20.9
173	122	47.1	61.2	55.9	131.3	127.9	100.2	44.2	118.5	128	75.5	79.1	77.6	21
173	123	47.2	61.2	56.1	131.9	128.7	100.2	44.4	119.1	128.6	75.9	79.2	77.8	21
173	124	47.4	61.2	56.3	132.6	129.4	100.2	44.7	119.7	129.2	76.3	79.3	78.1	21.1
173	125	47.5	61.2	56.4	133.2	130.2	100.2	44.9	120.2	129.8	76.6	79.4	78.3	21.1
173	126	47.7	61.1	56.6	133.8	130.9	100.2	45.1	120.8	130.3	77	79.5	78.6	21.2
173	127	47.8	61.1	56.8	134.5	131.7	100.2	45.3	121.4	130.9	77.4	79.6	78.8	21.2
173	128	48	61.1	57	135.1	132.5	100.2	45.6	122	131.5	77.8	79.7	79.1	21.3
173	129	48.1	61.1	57.2	135.8	133.2	100.2	45.8	122.5	132.1	78.2	79.8	79.3	21.3
173	130	48.3	61.1	57.3	136.4	134	100.2	46	123.1	132.7	78.6	79.9	79.6	21.4
174	35	33.9	62.5	40.5	75.8	61.2	101.7	23.9	68.4	77.3	41.7	70.7	55.8	16
174	36	34	62.5	40.6	76.4	61.9	101.7	24.1	69	77.8	42.1	70.8	56.1	16.1
174	37	34.2	62.5	40.8	77.1	62.7	101.7	24.3	69.5	78.4	42.5	70.9	56.3	16.1
174	38	34.3	62.5	41	77.7	63.4	101.7	24.6	70.1	79	42.9	71	56.6	16.2
174	39	34.5	62.5	41.2	78.3	64.2	101.7	24.8	70.7	79.6	43.3	71.1	56.8	16.2
174	40	34.6	62.5	41.4	79	65	101.7	25	71.3	80.2	43.6	71.2	57.1	16.3
174	41	34.8	62.4	41.5	79.6	65.7	101.6	25.3	71.8	80.8	44	71.3	57.3	16.4
174	42	34.9	62.4	41.7	80.2	66.5	101.6	25.5	72.4	81.3	44.4	71.4	57.6	16.4
174	43	35.1	62.4	41.9	80.9	67.3	101.6	25.7	73	81.9	44.8	71.5	57.8	16.5
174	44	35.2	62.4	42.1	81.5	68	101.6	26	73.6	82.5	45.2	71.6	58.1	16.5
174	45	35.4	62.4	42.3	82.2	68.8	101.6	26.2	74.1	83.1	45.6	71.7	58.3	16.6
174	46	35.5	62.4	42.4	82.8	69.5	101.6	26.4	74.7	83.7	46	71.8	58.6	16.6
174	47	35.7	62.4	42.6	83.4	70.3	101.6	26.7	75.3	84.2	46.3	71.9	58.8	16.7
174	48	35.8	62.4	42.8	84.1	71.1	101.6	26.9	75.9	84.8	46.7	72	59.1	16.8
174	49	36	62.4	43	84.7	71.8	101.6	27.1	76.4	85.4	47.1	72.1	59.3	16.8
174	50	36.2	62.4	43.1	85.3	72.6	101.6	27.4	77	86	47.5	72.2	59.6	16.9
174	51	36.3	62.3	43.3	86	73.4	101.6	27.6	77.6	86.6	47.9	72.3	59.8	16.9
174	52	36.5	62.3	43.5	86.6	74.1	101.5	27.8	78.2	87.1	48.3	72.4	60.1	17
174	53	36.6	62.3	43.7	87.2	74.9	101.5	28	78.7	87.7	48.7	72.5	60.3	17
174	54	36.8	62.3	43.9	87.9	75.7	101.5	28.3	79.3	88.3	49	72.6	60.6	17.1
174	55	36.9	62.3	44	88.5	76.4	101.5	28.5	79.9	88.9	49.4	72.8	60.8	17.1
174	56	37.1	62.3	44.2	89.2	77.2	101.5	28.7	80.4	89.5	49.8	72.9	61.1	17.2
174	57	37.2	62.3	44.4	89.8	77.9	101.5	29	81	90	50.2	73	61.3	17.3
174	58	37.4	62.3	44.6	90.4	78.7	101.5	29.2	81.6	90.6	50.6	73.1	61.6	17.3
174	59	37.5	62.3	44.7	91.1	79.5	101.5	29.4	82.2	91.2	51	73.2	61.8	17.4
174	60	37.7	62.2	44.9	91.7	80.2	101.5	29.7	82.7	91.8	51.4	73.3	62.1	17.4
174	61	37.8	62.2	45.1	92.3	81	101.5	29.9	83.3	92.4	51.7	73.4	62.3	17.5
174	62	38	62.2	45.3	93	81.8	101.4	30.1	83.9	93	52.1	73.5	62.6	17.5
174	63	38.1	62.2	45.5	93.6	82.5	101.4	30.4	84.5	93.5	52.5	73.6	62.8	17.6
174	64	38.3	62.2	45.6	94.2	83.3	101.4	30.6	85	94.1	52.9	73.7	63.1	17.7
174	65	38.4	62.2	45.8	94.9	84	101.4	30.8	85.6	94.7	53.3	73.8	63.3	17.7
174	66	38.6	62.2	46	95.5	84.8	101.4	31.1	86.2	95.3	53.7	73.9	63.6	17.8
174	67	38.7	62.2	46.2	96.1	85.6	101.4	31.3	86.8	95.9	54.1	74	63.8	17.8
174	68	38.9	62.2	46.4	96.8	86.3	101.4	31.5	87.3	96.4	54.5	74.1	64.1	17.9
174	69	39	62.2	46.5	97.4	87.1	101.4	31.8	87.9	97	54.8	74.2	64.3	17.9
174	70	39.2	62.1	46.7	98.1	87.9	101.4	32	88.5	97.6	55.2	74.3	64.6	18
174	71	39.3	62.1	46.9	98.7	88.6	101.4	32.2	89.1	98.2	55.6	74.4	64.8	18.1
174	72	39.5	62.1	47.1	99.3	89.4	101.4	32.5	89.6	98.8	56	74.5	65.1	18.1
174	73	39.6	62.1	47.2	100	90.2	101.3	32.7	90.2	99.3	56.4	74.6	65.3	18.2
174	74	39.8	62.1	47.4	100.6	90.9	101.3	32.9	90.8	99.9	56.8	74.7	65.6	18.2
174	75	39.9	62.1	47.6	101.2	91.7	101.3	33.2	91.4	100.5	57.2	74.8	65.8	18.3
174	76	40.1	62.1	47.8	101.9	92.4	101.3	33.4	91.9	101.1	57.5	74.9	66.1	18.3
174	77	40.2	62.1	48	102.5	93.2	101.3	33.6	92.5	101.7	57.9	75	66.3	18.4
174	78	40.4	62.1	48.1	103.1	94	101.3	33.9	93.1	102.2	58.3	75.1	66.6	18.5
174	79	40.5	62	48.3	103.8	94.7	101.3	34.1	93.7	102.8	58.7	75.2	66.8	18.5
174	80	40.7	62	48.5	104.4	95.5	101.3	34.3	94.2	103.4	59.1	75.3	67.1	18.6
174	81	40.8	62	48.7	105	96.3	101.3	34.5	94.8	104	59.5	75.4	67.3	18.6
174	82	41	62	48.8	105.7	97	101.3	34.8	95.4	104.6	59.9	75.5	67.6	18.7
